,Date,Event Type,Actor 1,Actor 1 Ally,Actor 1 Type,Actor 2,Actor 2 Ally,Actor 2 Type,Interaction Type,Country,Location,Latitude,Longitude,Source,Notes,Fatalities
8947,2017-03-10,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Rondebosch Common,-33.96333,18.47639,GroundUp,"Around 50 staff, who are members of the Academics Union and the Employees Union at the University of Cape Town (UCT), demonstrated outside UCTs Bremner building, calling for an amicable resolution to salary negotiations.",0
8948,2017-03-12,Violence against civilians,Vigilante Militia (South Africa),,Ethnic militia,Civilians (South Africa),,Civilians,Communal militia versus civilians,South Africa,Hlanganani,-23.195520000000002,30.23605,News24,"In Hlanganani outside Giyani, a man was killed with a sjambok during a mob attack.",1
8949,2017-03-12,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Masiphumelele,-34.12928,18.37627,GroundUp,Protest by residents of Masiphumelele to draw attention to land issues in the community cut the Cape Town Cycle Tour short.,0
8950,2017-03-12,Violence against civilians,Vigilante Militia (South Africa),,Ethnic militia,Civilians (South Africa),,Civilians,Communal militia versus civilians,South Africa,Polokwane,-23.90448,29.46885,News24,Limpopo police have launched a manhunt for a group of people who killed a man in Mvelaphanda in mob violence.,1
8951,2017-03-13,Riots/Protests,Protesters (South Africa),Students (South Africa),Protesters,,,NA,Sole protester action,South Africa,Pinetown,-29.82068,30.886740000000003,The Times (South Africa),"Students at the University of KwaZulu-Natal's Edgewood campus in Pinetown brought lectures to a halt in protest, demanding funding from the National Student Financial Aid Scheme (NSFAS) for those who qualified.",0
8952,2017-03-13,Riots/Protests,Protesters (South Africa),Right2Know,Protesters,,,NA,Sole protester action,South Africa,Pretoria,-25.74486,28.187829999999998,News24,A small group of Right2Know supporters picketed outside Sassa's head offices in Pretoria ,0
8953,2017-03-13,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Riverlea,-26.2119,27.9732,News24,"Protesters barricaded roads in Riverlea, Johannesburg, with burning tyres and rocks.",0
8954,2017-03-14,Riots/Protests,Protesters (South Africa),Private Security Forces (South Africa),Protesters,,,NA,Sole protester action,South Africa,Bellville,-33.9,18.633329999999997,GroundUp,"Dismissed security guards from the University of the Western Cape (UWC) demonstrated outside the university on Tuesday, calling for their employer, Securitas to reinstate them.",0
8955,2017-03-14,Riots/Protests,Protesters (South Africa),"NEHAWU: National Education, Health and Allied Workers Union",Protesters,,,NA,Sole protester action,South Africa,Mitchells Plain,-34.05341,18.62365,Cape Argus (South Africa),"Social workers, supported by Nehawu, picketed outside the South African Social Security Agency (Sassa) offices in Mitchells Plain after talks between their union Nehawu and the Department of Social Development broke down over working conditions.",0
8956,2017-03-14,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Pretoria,-25.74486,28.187829999999998,Pretoria News (South Africa),"A brand new city development was hit by a massive labour protest, when 500 job seekers from the surrounding area stormed the basement parking demanding jobs be given to residents of Pretoria. After the protestesr became violent police had to intervene resulting in the injury of one police officer.",0
8957,2017-03-14,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Strand,-34.10687,18.82751,Cape Argus (South Africa),"Parents, teachers and pupils marched outside a school in Strand against alleged overcrowding, no proper school structure, no sport grounds and no proper school ground. ",0
8958,2017-03-15,Riots/Protests,Protesters (South Africa),Students (South Africa),Protesters,,,NA,Sole protester action,South Africa,East London,-33.01529,27.911620000000003,Daily Dispatch (South Africa),"Students at the University of Fort Hare in East London brought traffic to a standstill when they marched to the institution demanding to meet the vice-chancellor, Sakhela Buhlungu.",0
8959,2017-03-15,Riots/Protests,Rioters (South Africa),Students (South Africa),Rioters,,,NA,Sole rioter action,South Africa,Fort Beaufort,-32.774770000000004,26.63376,Daily Dispatch (South Africa),Students at the historic Healdtown Comprehensive High School in Fort Beaufort blockaded the road and burnt tyres in front of the education district office in protest over the shortage of teachers.,0
8960,2017-03-15,Riots/Protests,Rioters (South Africa),Students (South Africa),Rioters,,,NA,Sole rioter action,South Africa,Johannesburg,-26.202270000000002,28.043640000000003,News24,"High school students looted shops in Fordsburg, Johannesburg.",0
8961,2017-03-15,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Lichtenburg,-26.151999999999997,26.159679999999998,City Press,"Villages in the North West experienced protest action over poor service delivery: In Blydeville township in Lichtenburg, several foreigner-owned shops were looted during this weeks violent protests",0
8962,2017-03-15,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Makgobistad,-25.74255,25.10306,City Press,"Villages in the North West experienced protest action over poor service delivery: In Makgobistad village, the road leading to Bray from Mahikeng and a border post into Botswana were also blocked by angry residents demanding road upgrades and maintenance, among other things. Several police and private vehicles were pelted with stones and damaged.",0
8963,2017-03-15,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Matroosfontein,-33.9406,18.57447,GroundUp,About 40 Braaf family members picketed along Borcherds Quarry Road outside the Cape Town airport (Matroosfontein in Cape Town) over land claims.,0
8964,2017-03-15,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Nelspruit,-25.46667,30.96667,Pretoria News (South Africa),The Bakutsoe High School in Nelspruit was set alight on March 15 during a service delivery protest by residents.,0
8965,2017-03-15,Riots/Protests,Protesters (South Africa),ANCYL: African National Congress Youth League,Protesters,,,NA,Sole protester action,South Africa,Pietermaritzburg,-29.616670000000003,30.383329999999997,News24,"As part of its ongoing efforts to put pressure on Absa bank to repay a SA Reserve Bank loan, the ANC Youth League brought a branch in the Pietermaritzburg CBD to a standstill on Wednesday.",0
8966,2017-03-15,Riots/Protests,Protesters (South Africa),Right2Know,Protesters,,,NA,Sole protester action,South Africa,Pretoria,-25.74486,28.187829999999998,IOL.co.za,About 1500 former residents with Right2Know of the iconic Schubart Park took to the streets of the city demanding the speedy refurbishments of the flats.,0
8967,2017-03-15,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Garsfontein,-25.7935,28.3,Pretoria News (South Africa),Residents staged a protest outside the Garsfontein police station when the man was apprehended in March.,0
8968,2017-03-16,Riots/Protests,Protesters (South Africa),SWEAT: Sex Workers Education and Advocacy Taskforce,Protesters,,,NA,Sole protester action,South Africa,Cape Town,-33.92528,18.42389,GroundUp,Activists demonstrate outside the Western Cape High Court today where artist Zwelethu Mthethwa was found guilty of the murder of sex worker Nokuphila Kumalo,0
8969,2017-03-16,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Lwandle,-34.120470000000005,18.86436,Cape Argus (South Africa),"A group of residents from Asanda Village in Lwandle, Strand, blocked traffic on the N2 when they marched to the Asla construction company's offices to protest against the state of their RDP houses that the company built.",0
8970,2017-03-16,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Mthatha,-31.588929999999998,28.78443,News24,Hawkers burned tyres in Mthatha in protest against the confiscation of their stalls by the municipality.,0
8971,2017-03-16,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Soweto,-26.26667,27.866670000000003,News24,"Parents of pupils at Kwa-Phalo Primary School in Meadowlands, Soweto, blocked the entrance to the school, preventing staff and pupils from entering.",0
8972,2017-03-16,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Worcester,-33.65,19.433329999999998,News24,"Calm has been restored to Avian Park in Worcester after residents turned on police, pelting them with stones. About 600 residents gathered at the scene and started throwing stones at police",0
8973,2017-03-17,Riots/Protests,Protesters (South Africa),COSAS: Congress of South African Students; Students (South Africa),Protesters,,,NA,Sole protester action,South Africa,Braamfontein,-26.19816,28.02194,GroundUp,Thousands of school students with the help of COSAS held protests in Baamfontein in Johannesburg. ,0
8974,2017-03-17,Violence against civilians,Vigilante Militia (South Africa),,Ethnic militia,Civilians (South Africa),,Civilians,Communal militia versus civilians,South Africa,Eldorado Park,-26.289140000000003,27.8962,News24,One man died after residents of Extension One chased him and beat him to death in a suspected mob killing.,1
8975,2017-03-17,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Menlyn,-25.78208,28.27713,Pretoria News (South Africa),"Workers gathered from across Gauteng and protested outside the Menlyn offices, marching to the Department of Transport to submit a memorandum of grievances to the minister.",0
8976,2017-03-17,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Shallcross,-29.88887,30.880370000000003,News24,The arrests of two men for allegedly burning a shack owned by a man they suspected of murder sparked a fiery protest. They burnt tyres and blocked roads.,0
8977,2017-03-18,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Phoenix,-29.704279999999997,30.9761,Post (South Africa),"Young children joined their parents, other locals, civic leaders and political parties during a mass protest against a planned tavern in Woodview, Phoenix.",0
8978,2017-03-18,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Rosettenville,-26.246340000000004,28.0566,GroundUp,Residents of Rosettenville who wanted to hold a protest march in the suburb south of Johannesburg were frustrated after police denied them permission to proceed.,0
8979,2017-03-19,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Masiphumelele,-34.12928,18.37627,News24,Police have fired rubber bullets at protesting residents from the Masiphumelele township in Cape Town. The violence ensued after protesters barricaded roads with burning tyres near Kommetjie.,0
8980,2017-03-20,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Cape Town,-33.92528,18.42389,News24,"Dozens of women who lined up outside the Western Cape High Court, calling for nikahs to be declared legally valid. ",0
8981,2017-03-20,Riots/Protests,Protesters (South Africa),"NEHAWU: National Education, Health and Allied Workers Union",Protesters,,,NA,Sole protester action,South Africa,Centurion,-25.85891,28.18577,Pretoria News (South Africa),Workers and members of the National Union of Metalworkers of South Africa's (Numsa) marched to the RAF head offices in Centurion to submit a memorandum to chief executive Eugene Watson.,0
8982,2017-03-20,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Johannesburg,-26.202270000000002,28.043640000000003,African News Agency,"Freedom Park residents marched to Luthuli House in Johannesburg, where they called on the African National Congress (ANC) to provide them with land.",0
8983,2017-03-20,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Mutale,-22.469720000000002,30.875329999999998,News24,Villagers of Mutele and surrounding areas began protesting at the gates to the national park to demand that SANParks include them in its social and labour programmes.,0
8984,2017-03-20,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Soweto,-26.26667,27.866670000000003,News24,"Eight people were arrested for public violence during a protest in Mzimhlophe, Soweto. Protesters had barricaded the Soweto Highway in a protest against evictions in the area.   ",0
8985,2017-03-21,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Cape Town,-33.92528,18.42389,Cape Argus,More than 100 people took to the streets to protest against a gross violation of human rights  human trafficking.,0
8986,2017-03-21,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,King Williams Town,-32.880309999999994,27.394540000000003,Daily Dispatch,"While president Jacob Zuma was giving a keynote address at the Human Rights Day national celebrations in King Williams Town, residents were protesting against lack of service delivery. They blockaded the R63 road with burning tyres and stones saying their human right to electricity was being violated after weeks of no power.",0
8987,2017-03-21,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Marite,-24.971610000000002,31.11249,Sowetan (South Africa),"Protest action in Marite, Bushbuckridge resulted in the torching of Lamulelani and Bakhutshwe high schools.",0
8988,2017-03-21,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Mbekweni,-33.67889,18.98866,GroundUp,Residents of Mbekweni near Paarl marked Human Rights Day on Tuesday with a march against drugs and crime.,0
8989,2017-03-22,Riots/Protests,Protesters (South Africa),"NEHAWU: National Education, Health and Allied Workers Union",Protesters,,,NA,Sole protester action,South Africa,Cape Town,-33.92528,18.42389,Cape Times (South Africa),Members of the National Education Health and Allied Workers Union picketed in front of the Western Cape Department of Social Development offices.,0
8990,2017-03-23,Riots/Protests,Protesters (South Africa),ANCYL: African National Congress Youth League,Protesters,,,NA,Sole protester action,South Africa,Ballito,-29.53598,31.213959999999997,News24,ANC Youth League (ANCYL) demonstrators were slowly gathering on Thursday morning in Shakas Head in preparation for their march to the Ballito Junction Mall ahead of its grand opening.,0
8991,2017-03-23,Riots/Protests,Protesters (South Africa),SACP: South African Communist Party,Protesters,,,NA,Sole protester action,South Africa,East London,-33.01529,27.911620000000003,Daily Dispatch (South Africa),Residents from Ward 13 (East London) marched in protest with the SACP against corruption.,0
8992,2017-03-23,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Lavender Hill,-34.06667,18.48333,Cape Times,"About 1 000 residents who were protesting attempted to attack a murder suspect, during which a police officer was injured and four vehicles damaged.",0
8993,2017-03-23,Riots/Protests,Protesters (South Africa),EFF: Economic Freedom Fighters,Protesters,,,NA,Sole protester action,South Africa,Menlyn,-25.78208,28.27713,Pretoria News (South Africa),Workers picketed outside their Menlyn branch offices and attracted support from the EFF for the strike action.,0
8994,2017-03-24,Riots/Protests,Protesters (South Africa),Students (South Africa); RTC: Reclaim The City; NU: Ndifuna Ukwazi,Protesters,,,NA,Sole protester action,South Africa,Cape Town,-33.92528,18.42389,GroundUp,"About 60 students from Philippi High School marched from Cape Town train station through the city centre to the Western Cape provincial legislature in a protest over conditions at their school. At the same time, activists from Reclaim the City and Ndifuna Ukwazi have occupied two provincial government buildings in protest and in the hope of pressuring authorities to develop affordable inner city accommodation in Cape Town: V & A Waterfront in Cape Town",0
8995,2017-03-24,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Gugulethu,-33.98333,18.566670000000002,GroundUp,The Barcelona informal settlement in Gugulethu is strewn with reeking portable chemical toilets after residents stopped cleaners from working in a protest against recruitment policies.,0
8996,2017-03-24,Riots/Protests,Protesters (South Africa),RTC: Reclaim The City; NU: Ndifuna Ukwazi,Protesters,,,NA,Sole protester action,South Africa,Woodstock,-33.91667,18.4333,News24,Activists from Reclaim the City and Ndifuna Ukwazi have occupied two provincial government buildings protest and in the hope of pressuring authorities to develop affordable inner city accommodation in Cape Town: Woodstock,0
8997,2017-03-26,Riots/Protests,Protesters (South Africa),Students (South Africa),Protesters,,,NA,Sole protester action,South Africa,Grahamstown,-33.30422,26.532759999999996,The Daily Vox,"At Rhodes University, protest flared up in the form of a spontaneous march around campus, trailed by police cars",0
8998,2017-03-26,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Steenberg,-34.07442,18.470229999999997,Cape Times (South Africa),Steenberg residents returned to continue their protest held outside a church in Galilee Street against a proposed erection of a cellphone mast there.,0
8999,2017-03-27,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Bhisho,-32.84721,27.44218,Daily Dispatch (South Africa),Bhisho Park ratepayers have called on the Buffalo City Metro to pay R2500 in compensation to each household affected by a power outage of eight days. They marched to the metro's offices in Bhisho.,0
9000,2017-03-27,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Eshowe,-28.883329999999997,31.46667,News24,"Residents of Eshowe, northern KwaZulu-Natal, went on a service delivery protest. They blockaded the towns busiest street with burning tyres and concrete rubbish bins.",0
9001,2017-03-27,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Komga,-32.577040000000004,27.892,Daily Dispatch (South Africa),"Over three days, Komga has been host to service delivery protests. About 300 protesters gathered in a field close to Happy Valley township after burning tyres and blocking the road with tree stumps to restrict entry to the town. ",0
9002,2017-03-27,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Pimville,-26.2723,27.90682,News24,"A protest took place in Pimville, Soweto, against the installation of prepaid electricity meters under control. About 50 Pimville residents had blocked Modjadji Road with burning tyres, forcing Eskom employees to abandon their meter installations for the day. ",0
9003,2017-03-27,Riots/Protests,Protesters (South Africa),"NEHAWU: National Education, Health and Allied Workers Union",Protesters,,,NA,Sole protester action,South Africa,Polokwane,-23.90448,29.46885,News24,"Officials in the departments health facilities started picketing outside the Polokwane Hospitals entrance, demanding to be paid their bonuses. Trade union Nehawu said the strike would continue until their demands were met.",0
9004,2017-03-27,Riots/Protests,Rioters (South Africa),Students (South Africa),Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Thohoyandou,-22.95,30.4833,The Daily Vox,"Students have been blocking entrances, damaging University of Venda property and clashing with police in a renewal of student protests.",0
9005,2017-03-28,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Eshowe,-28.883329999999997,31.46667,The Mercury (South Africa),Eshowe community members held a destructive protest at the Eshowe constituency offices. The community allegedly burnt tyres near the offices and damaged the windows,0
9006,2017-03-28,Riots/Protests,Protesters (South Africa),ADF: African Diaspora Forum,Protesters,,,NA,Sole protester action,South Africa,Johannesburg,-26.202270000000002,28.043640000000003,The Citizen,"An anti-xenophobia march, lead by the African Diaspora Forum (ADF) and consisting of 200 supporters took to the streets of Johannesburg.",0
9007,2017-03-28,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Komga,-32.577040000000004,27.892,Daily Dispatch (South Africa),"Over three days, Komga has been host to service delivery protests. One protester was taken to Frere Hospital after being hit by rubber bullets by police while 8 were arrested.",0
9008,2017-03-28,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Marite,-24.971610000000002,31.11249,Sowetan (South Africa),"Three schools were set alight in Marite in Bushbuckridge, Mpumalanga, as the community demanded the tarring of a road in the area.",0
9009,2017-03-28,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Polokwane,-23.90448,29.46885,News24,Four cars were torched in downtown Polokwane in an apparent protest against drugs.,0
9010,2017-03-28,Riots/Protests,Rioters (South Africa),Students (South Africa),Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Thohoyandou,-22.95,30.4833,The Daily Vox,Students have been blocking entrances and damaging University of Venda property and clashing with police. Four student protesters were arrested on charges of public violence and will appear in the Thoyohandou magistrates court.,0
9011,2017-03-29,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Centurion,-25.85891,28.18577,Eyewitness News,"Police are monitoring the situation in Olievenhoutbosch, Centurion where the R55 has been blocked with rocks and tyres.",0
9012,2017-03-29,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Elsies River,-33.91055,18.56813,GroundUp,"In Elsies River, protesters blocked the surrounding streets with burning tyres, furniture and mattresses. Police used rubber bullets, tear gas and stun grenades. Protesters threw rocks.",0
9013,2017-03-29,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Eshowe,-28.883329999999997,31.46667,The Mercury (South Africa),Police kept a close watch as the protests continued in Eshowe over service delivery.,0
9014,2017-03-29,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Komga,-32.577040000000004,27.892,Daily Dispatch (South Africa),"Over three days, Komga has been host to service delivery protests. About 300 protesters gathered in a field close to Happy Valley township after burning tyres and blocking the road with tree stumps to restrict entry to the town. ",0
9015,2017-03-29,Riots/Protests,Protesters (South Africa),PSG: Palestine Solidarity Group; #FeesMustFall,Protesters,,,NA,Sole protester action,South Africa,Rondebosch,-33.96333,18.47639,The Daily Vox,"A protest was staged on the Jammie Plaza at the University of Cape Town, with students from the Palestine Solidarity Forum (PSF) joining forces with students protesting for the Fees Must Fall (FMF) movement to defend the space together.",0
9016,2017-03-29,Riots/Protests,Rioters (South Africa),Students (South Africa),Rioters,,,NA,Sole rioter action,South Africa,Thohoyandou,-22.95,30.4833,The Daily Vox,Activities at the University of Venda were shut down on as a result of student protests. ,0
9017,2017-03-29,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Vuwani,-23.1351,30.421840000000003,News24,Government has appealed for calm in Vuwani after fresh violence erupted following the Municipal Demarcation Board's announcement that it would not review its decision to shift boundaries in the area. ,0
9018,2017-03-30,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Naturena,-26.28994,27.95755,The Star (South Africa),"Members of the taxi fraternity, the community policing forum and thousands of other marchers as they moved through the streets of Naturena with placards calling for rapists to be brought to book.",0
9019,2017-03-30,Riots/Protests,Rioters (South Africa),"NEHAWU: National Education, Health and Allied Workers Union",Rioters,,,NA,Sole rioter action,South Africa,Newcastle,-27.75517,29.93458,The Newcastle Advertiser,"Protesters, supported by NEHAWU, have set tyres alight in the hope of getting their demands met in Newcastle.",0
9020,2017-03-30,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Pretoria,-25.74486,28.187829999999998,Pretoria News Weekend (South Africa),A march started at National Treasury offices in Pretoria before heading to the Union Buildings over the recent cabinet reshuffle.,0
9021,2017-03-30,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Tafelsig,-34.05815,18.638370000000002,Daily Voice,"An angry mob tried to burn the structure down in Mitchells Plain. Police opened fire with rubber bullets in a bid to disperse the 300-strong mob outside the suspects home in Matroosberg Street, Tafelsig",0
9022,2017-03-31,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Cape Town,-33.92528,18.42389,GroundUp,Over 200 people protested outside Parliament calling for the immediate resignation of President Jacob Zuma. ,0
9023,2017-04-03,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Cape Town,-33.92528,18.42389,News24,Hundreds of people have gathered in Church Square in Pretoria to protest against President Jacob Zuma's Cabinet reshuffle.,0
9024,2017-04-03,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Hatfield,-25.74737,28.23825,Pretoria News (South Africa),Outsourced workers at the embattled Passenger Rail Agency of South Africa (Prasa) staged a protest outside the entity's offices in Hatfield demanding to be hired permanently by the parastatal.,0
9025,2017-04-03,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Johannesburg,-26.202270000000002,28.043640000000003,The Times (South Africa),"Amid the spreading protests against President Jacob Zuma's reshuffling of the cabinet, a handful of Johannesburg residents picketed outside the Gupta family compound in Saxonwold Johannesburg.",0
9026,2017-04-03,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Tafelsig,-34.05815,18.638370000000002,IOL.co.za,"Hundreds of residents from the Tafelsig area of Mitchells Plain turned up at the local magistrate's court to protest, and demand justice following the murder of 11-year-old Stacha Arendz.",0
9027,2017-04-04,Violence against civilians,Vigilante Militia (South Africa),,Ethnic militia,Civilians (South Africa),,Civilians,Communal militia versus civilians,South Africa,Ga-Kgwete,-24.4,30.066670000000002,News24,Two suspected robbers were burnt to death and two others were injured in Ga-Kgwete near Mecklenburg in Limpopo.,2
9028,2017-04-05,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Cape Town,-33.92528,18.42389,News24,"Thousands of protesters have gathered for the anti-Zuma march in Cape Town, stretching from St. Georges Cathedral to the train station.",0
9029,2017-04-05,Violence against civilians,Vigilante Militia (South Africa),,Ethnic militia,Civilians (South Africa),,Civilians,Communal militia versus civilians,South Africa,Kraaifontein,-33.848079999999996,18.71724,Daily Voice,"A gunman, who hid away at a local spaza shop after allegedly shooting and killing a 16-year-old boy, was caught by an angry mob.",1
9030,2017-04-05,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Pretoria,-25.74486,28.187829999999998,The Herald (South Africa),Save South Africa supporters camped out at Church Square in Pretoria in protests.,0
9031,2017-04-05,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Richmond,-29.874270000000003,30.27727,News24,About 400 community members clashed with police outside the Richmond Magistrate's Court. Police retaliated with stun grenades and rubber bullets to disperse the unruly crowd ,0
9032,2017-04-05,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Vuwani,-23.1351,30.421840000000003,News24,A school administration block has been burnt just four days after fresh violence erupted in Vuwani over the municipal boundary line.,0
9033,2017-04-07,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Barrydale,-33.9053,20.72439,Cape Times (South Africa),About 150 people from the Little Karoo town of Barrydale participated in a peaceful anti-Zuma protest on Route 62.,0
9034,2017-04-07,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Cape Town,-33.92528,18.42389,News24,Thousands of Save South Africa supporters have descended on Church Square in Cape Town to call for President Jacob Zuma to step down.,0
9035,2017-04-07,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Durban,-29.8579,31.0292,News24,Thousands have gathered near the Old Durban Drive-in to protest President Jacob Zuma's recent Cabinet reshuffle.,0
9036,2017-04-07,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,George,-33.96667,22.45,African News Agency,"Thousands of Garden Route residents stood in solidarity with the rest of the country, calling for President Jacob Zuma to step down: George",0
9037,2017-04-07,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Hermanus,-34.40911,19.25069,News24,"Archbishop Emeritus Desmond Tutu and his wife Leah  joined protesters outside the retirement home they are staying at in Hermanus, to add their support to nationwide anti-Zuma marches.",0
9038,2017-04-07,Violence against civilians,Rioters (South Africa),ANC: African National Congress,Rioters,Civilians (South Africa),DA: Democratic Alliance,Civilians,Rioters versus civilians,South Africa,Johannesburg,-26.202270000000002,28.043640000000003,News24,"ANC demonstrators outside Luthuli House in Johannesburg grabbed and attacked one of three people, believed to be DA supporters, who ran into their march with a banner that read: ""You must be joking"".",0
9039,2017-04-07,Riots/Protests,Rioters (South Africa),ANC: African National Congress,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Johannesburg,-26.202270000000002,28.043640000000003,News24,Police fired rubber bullets and tear gas at ANC supporters outside luthuli house in violent clashes. Several people were injured in the violence.,0
9040,2017-04-07,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Knysna,-34.03627,23.04713,African News Agency,"Thousands of Garden Route residents stood in solidarity with the rest of the country, calling for President Jacob Zuma to step down: Knysna",0
9041,2017-04-07,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Mossel Bay,-34.18307,22.14605,African News Agency,"Thousands of Garden Route residents stood in solidarity with the rest of the country, calling for President Jacob Zuma to step down: Mossel Bay",0
9042,2017-04-07,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Ocean View,-34.14861,18.35365,GroundUp,A protest against crime in Ocean View turned violent when youths attempted to block roads by burning tyres and throwing stones. Police used teargas and rubber bullets to disperse them.,0
